seq,lon,lat
815,27.444753,44.133979
816,27.461029,44.137641
817,27.481619,44.145697
818,27.499278,44.155788
819,27.506765,44.165351
820,27.51588,44.172553
821,27.568777,44.195421
822,27.607839,44.205349
823,27.691661,44.204413
824,27.732677,44.209744
825,27.753022,44.218695
826,27.788585,44.239691
827,27.933849,44.265937
828,27.967296,44.280382
829,27.993256,44.304267
830,28.047944,44.398057
831,28.057058,44.405707
832,28.098562,44.430243
833,28.109955,44.44245
834,28.108816,44.457709
835,28.10198,44.478339
836,28.093191,44.496649
837,28.085867,44.504503
838,28.066824,44.507025
839,28.042491,44.513373
840,28.020112,44.522162
841,28.006928,44.531846
842,28.003673,44.53974
843,28.015066,44.543158
844,28.021251,44.552314
845,28.021088,44.587836
846,28.027843,44.59809
847,28.033376,44.621649
848,28.034434,44.630805
849,28.030528,44.636908
850,27.977794,44.679145
851,27.960053,44.686306
852,27.935069,44.68891
853,27.916108,44.694363
854,27.898448,44.707953
855,27.884288,44.725898
856,27.87672,44.744086
857,27.883311,44.756903
858,27.877371,44.765326
859,27.863292,44.769965
860,27.845714,44.77143
861,27.828868,44.77912
862,27.81837,44.795966
863,27.814708,44.812771
864,27.818777,44.820502
865,27.833995,44.830878
866,27.859386,44.855048
867,27.878835,44.882107
868,27.87672,44.90115
869,27.889252,44.926215
870,27.894216,44.956977
871,27.890554,44.985867
872,27.87672,45.004828
873,27.907237,45.053168
874,27.911388,45.069363
875,27.917572,45.08161
876,27.944916,45.11282
877,27.951752,45.128363
878,27.950206,45.137152
879,27.941173,45.153347
880,27.93808,45.161811
881,27.93808,45.20657
882,27.941661,45.224229
883,28.006358,45.324815
884,28.010346,45.333808
885,28.018077,45.343126
886,28.028819,45.387478
887,28.034434,45.402045
888,28.048595,45.413764
889,28.066987,45.422553
890,28.087169,45.428046
891,28.106619,45.429999
892,28.127533,45.426785
893,28.169526,45.414984
894,28.185151,45.415635
895,28.193614,45.423163
896,28.201671,45.443142
897,28.212413,45.450466
898,28.237071,45.452338
899,28.266368,45.440741
900,28.285818,45.421983
901,28.280772,45.402045
902,28.310313,45.34809
903,28.329682,45.323106
904,28.352631,45.31269
905,28.369721,45.309516
906,28.404714,45.295356
907,28.493663,45.27912
908,28.576589,45.248358
909,28.709483,45.22724
910,28.747,45.23074
